candidate,epoch,learning_rate,train_loss,val_loss,dorsal_pseudo_dice,ventral_pseudo_dice,epoch_time
2D,0,0.01,-0.0993,-0.5269,0.8238,0.4004,48.94
2D,1,0.00955,-0.6899,-0.8801,0.9768,0.9319,34.91
2D,2,0.0091,-0.7753,-0.8908,0.9792,0.94,34.73
2D,3,0.00864,-0.7902,-0.8974,0.9839,0.952,34.87
2D,4,0.00818,-0.8056,-0.9053,0.9851,0.9554,35.15
2D,5,0.00772,-0.8112,-0.9083,0.9878,0.9649,34.8
2D,6,0.00725,-0.8171,-0.9031,0.9872,0.9615,34.95
2D,7,0.00679,-0.8233,-0.9111,0.9894,0.9696,34.7
2D,8,0.00631,-0.8219,-0.9141,0.9901,0.9721,34.72
2D,9,0.00584,-0.831,-0.9185,0.9935,0.9812,34.93
2D,10,0.00536,-0.8383,-0.941,0.993,0.9796,34.74
2D,11,0.00487,-0.8605,-0.948,0.9941,0.9829,34.87
2D,12,0.00438,-0.8706,-0.9449,0.9906,0.9727,34.94
2D,13,0.00389,-0.8685,-0.9455,0.9901,0.9711,34.74
2D,14,0.00338,-0.8727,-0.938,0.9865,0.961,34.98
2D,15,0.00287,-0.8822,-0.9566,0.9954,0.9865,34.73
2D,16,0.00235,-0.8846,-0.9522,0.9938,0.9823,34.99
2D,17,0.00181,-0.8846,-0.941,0.9873,0.9631,34.96
2D,18,0.00126,-0.8908,-0.9446,0.9888,0.9662,34.76
2D,19,0.00067,-0.8898,-0.9492,0.9914,0.976,34.98
3D,0,0.01,-0.3687,-0.8166,0.9685,0.9147,149.87
3D,1,0.00955,-0.7466,-0.908,0.9837,0.9432,116.16
3D,2,0.0091,-0.8113,-0.9353,0.9924,0.9755,113.29
3D,3,0.00864,-0.8226,-0.9479,0.993,0.9772,116.32
3D,4,0.00818,-0.8051,-0.9493,0.9887,0.9642,122.29
3D,5,0.00772,-0.8348,-0.9479,0.9905,0.9789,113.9
3D,6,0.00725,-0.8227,-0.9543,0.9983,0.9948,111.21
3D,7,0.00679,-0.8374,-0.956,0.9927,0.9827,104.87
3D,8,0.00631,-0.8415,-0.9651,0.9934,0.9812,104.77
3D,9,0.00584,-0.8446,-0.9702,0.9954,0.9859,104.87
3D,10,0.00536,-0.8481,-0.9762,0.9969,0.991,107.95
3D,11,0.00487,-0.8577,-0.9761,0.9983,0.995,112.51
3D,12,0.00438,-0.8623,-0.9764,0.9993,0.9977,115.88
3D,13,0.00389,-0.8514,-0.9708,0.9968,0.99,108.03
3D,14,0.00338,-0.863,-0.9598,0.9952,0.9883,105.37
3D,15,0.00287,-0.8434,-0.9728,0.9988,0.9966,111.09
3D,16,0.00235,-0.8642,-0.9719,0.9987,0.9961,104.75
3D,17,0.00181,-0.861,-0.9763,0.9989,0.9967,110.26
3D,18,0.00126,-0.8666,-0.9747,0.9992,0.9974,109.36
3D,19,0.00067,-0.8746,-0.9779,0.9991,0.9973,107.79
