case_id,split,status,alignment,image,label,foreground_voxels,has_label_9,crop_retains_all_foreground
sub-002_ses-headNormal_000,labelsTr,processed,orientation_only,/home/kuanyiw/projects/rootlets/data/ds004507/sub-002/ses-headNormal/anat/sub-002_ses-headNormal_T2w.nii.gz,/home/kuanyiw/projects/rootlets/data/Rootlets-train-test-labels/labelsTr/sub-002_ses-headNormal_000.nii.gz,4974,True,True
sub-003_ses-headNormal_002,labelsTr,processed,orientation_only,/home/kuanyiw/projects/rootlets/data/ds004507/sub-003/ses-headNormal/anat/sub-003_ses-headNormal_T2w.nii.gz,/home/kuanyiw/projects/rootlets/data/Rootlets-train-test-labels/labelsTr/sub-003_ses-headNormal_002.nii.gz,4949,True,True
sub-003_ses-headUp_003,labelsTr,processed,orientation_only,/home/kuanyiw/projects/rootlets/data/ds004507/sub-003/ses-headUp/anat/sub-003_ses-headUp_T2w.nii.gz,/home/kuanyiw/projects/rootlets/data/Rootlets-train-test-labels/labelsTr/sub-003_ses-headUp_003.nii.gz,5919,True,True
sub-004_ses-headNormal_004,labelsTr,processed,orientation_only,/home/kuanyiw/projects/rootlets/data/ds004507/sub-004/ses-headNormal/anat/sub-004_ses-headNormal_T2w.nii.gz,/home/kuanyiw/projects/rootlets/data/Rootlets-train-test-labels/labelsTr/sub-004_ses-headNormal_004.nii.gz,4519,True,True
sub-005_ses-headNormal_006,labelsTr,processed,orientation_only,/home/kuanyiw/projects/rootlets/data/ds004507/sub-005/ses-headNormal/anat/sub-005_ses-headNormal_T2w.nii.gz,/home/kuanyiw/projects/rootlets/data/Rootlets-train-test-labels/labelsTr/sub-005_ses-headNormal_006.nii.gz,6932,True,True
sub-005_ses-headUp_007,labelsTr,processed,orientation_only,/home/kuanyiw/projects/rootlets/data/ds004507/sub-005/ses-headUp/anat/sub-005_ses-headUp_T2w.nii.gz,/home/kuanyiw/projects/rootlets/data/Rootlets-train-test-labels/labelsTr/sub-005_ses-headUp_007.nii.gz,3741,True,True
sub-007_ses-headUp_010,labelsTr,processed,orientation_only,/home/kuanyiw/projects/rootlets/data/ds004507/sub-007/ses-headUp/anat/sub-007_ses-headUp_T2w.nii.gz,/home/kuanyiw/projects/rootlets/data/Rootlets-train-test-labels/labelsTr/sub-007_ses-headUp_010.nii.gz,6406,True,True
sub-007_ses-headNormal_009,labelsTs,processed,orientation_only,/home/kuanyiw/projects/rootlets/data/ds004507/sub-007/ses-headNormal/anat/sub-007_ses-headNormal_T2w.nii.gz,/home/kuanyiw/projects/rootlets/data/Rootlets-train-test-labels/labelsTs/sub-007_ses-headNormal_009.nii.gz,5030,True,True
sub-010_ses-headNormal_014,labelsTr,processed,orientation_only,/home/kuanyiw/projects/rootlets/data/ds004507/sub-010/ses-headNormal/anat/sub-010_ses-headNormal_T2w.nii.gz,/home/kuanyiw/projects/rootlets/data/Rootlets-train-test-labels/labelsTr/sub-010_ses-headNormal_014.nii.gz,8316,True,True
sub-010_ses-headUp_015,labelsTs,processed,orientation_only,/home/kuanyiw/projects/rootlets/data/ds004507/sub-010/ses-headUp/anat/sub-010_ses-headUp_T2w.nii.gz,/home/kuanyiw/projects/rootlets/data/Rootlets-train-test-labels/labelsTs/sub-010_ses-headUp_015.nii.gz,5582,True,True
