case_id,contrast,group,reference,macro_level_dice,binary_dice,dice_C2,dice_C3,dice_C4,dice_C5,dice_C6,dice_C7,dice_C8,dice_T1,n_levels_in_union,gt_foreground_voxels,pred_foreground_voxels,gt_levels,pred_levels,max_affine_error
sub-002_ses-headNormal_000,T2w,T2w,sub-002_ses-headNormal_000.nii.gz,0.7245166926079523,0.7378116173400466,0.7597883597883598,0.7792378449408672,0.631083202511774,0.7875555555555556,0.7609649122807017,0.7573149741824441,0.7259658580413297,0.594222833562586,8,4974,3169,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,5.960464477539063e-08
sub-003_ses-headNormal_002,T2w,T2w,sub-003_ses-headNormal_002.nii.gz,0.6787754673005928,0.6889859291606016,0.6847826086956522,0.7519893899204244,0.626984126984127,0.6103038309114928,0.6912691269126913,0.7733990147783252,0.6128722382324687,0.6786034019695614,8,4949,3295,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,5.960464477539063e-08
sub-003_ses-headUp_003,T2w,T2w,sub-003_ses-headUp_003.nii.gz,0.6483799746503551,0.6536482939632546,0.5882352941176471,0.6697368421052632,0.6459854014598541,0.704225352112676,0.6525198938992043,0.7207465900933238,0.6190735694822889,0.5865168539325842,8,5919,3606,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,5.960464477539063e-08
sub-004_ses-headNormal_004,T2w,T2w,sub-004_ses-headNormal_004.nii.gz,0.6816476865110208,0.6862745098039216,0.6855345911949685,0.7012987012987013,0.6474127557160048,0.6825174825174826,0.6138032305433186,0.7490909090909091,0.6976744186046512,0.6758494031221304,8,4519,2927,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,2.250803710079907e-16
sub-005_ses-headNormal_006,T2w,T2w,sub-005_ses-headNormal_006.nii.gz,0.6712760958273506,0.6758428434532625,0.6748698532891624,0.6976744186046512,0.595460614152203,0.6555066079295154,0.7286559594251902,0.6589928057553956,0.69875,0.6602985074626866,8,6932,4547,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,5.960464477539063e-08
sub-005_ses-headUp_007,T2w,T2w,sub-005_ses-headUp_007.nii.gz,0.6380907874006677,0.6524629282427135,0.67124227865477,0.7101648351648352,0.7480916030534351,0.5220729366602687,0.5597579425113465,0.684654300168634,0.6290322580645161,0.5797101449275363,8,3741,2126,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,5.960464477539063e-08
sub-007_ses-headUp_010,T2w,T2w,sub-007_ses-headUp_010.nii.gz,0.7107470796297257,0.7199854914762422,0.7439153439153439,0.7402501839587933,0.682741116751269,0.6576687116564417,0.7316666666666667,0.7111853088480802,0.72556684910086,0.6929824561403509,8,6406,4622,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,9.69276742202041e-17
sub-010_ses-headNormal_014,T2w,T2w,sub-010_ses-headNormal_014.nii.gz,0.7170313268391825,0.7460126178492946,0.8050052137643379,0.8026666666666666,0.7510348905972797,0.7570093457943925,0.7166666666666667,0.6973310618966496,0.5930232558139535,0.6135135135135135,8,8316,5791,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,5.960464477539063e-08
sub-011_ses-headNormal_016,T2w,T2w,sub-011_ses-headNormal_016.nii.gz,0.7393024840491578,0.7455681487939553,0.7717553455992043,0.7592240395587676,0.755765819041987,0.7195059186824498,0.7667009249743063,0.7543745949449125,0.6859623733719248,0.7011308562197092,8,7988,5776,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,2.645453300864631e-16
sub-011_ses-headUp_017,T2w,T2w,sub-011_ses-headUp_017.nii.gz,0.758234779030984,0.7724477244772447,0.7837028160575195,0.8095712861415753,0.7878077373974208,0.8021911138161899,0.7804090419806243,0.7109589041095891,0.6897196261682244,0.7015177065767285,8,7527,5481,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,6.158268339717665e-17
sub-amu01_064,T2w,T2w,sub-amu01_064.nii.gz,0.7423060376995252,0.7615943845575333,0.7479674796747967,0.7561374795417348,0.5507246376811594,0.7936507936507936,0.7804878048780488,0.7241962774957699,0.8144927536231884,0.77079107505071,8,2379,1610,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-amu05_216,T2w,T2w,sub-amu05_216.nii.gz,0.7596785283650791,0.771267792121814,0.7961538461538461,0.867862969004894,0.7632850241545893,0.6813186813186813,0.8266666666666667,0.7073791348600509,0.73,0.7047619047619048,8,1803,1218,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-balgrist01_218,T2w,T2w,sub-balgrist01_218.nii.gz,0.8120779852031897,0.8265494912118408,0.7640918580375783,0.8541666666666666,0.8818897637795275,0.750733137829912,0.9,0.8428571428571429,0.8292011019283747,0.6736842105263158,8,2475,1849,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,5.960464477539063e-08
sub-balgrist02_084,T2w,T2w,sub-balgrist02_084.nii.gz,0.7901379613488198,0.7996210326859309,0.779467680608365,0.8056737588652483,0.7692307692307693,0.7112970711297071,0.8172043010752689,0.787363304981774,0.8564417177914111,0.794425087108014,8,2451,1771,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-balgrist03_066,T2w,T2w,sub-balgrist03_066.nii.gz,0.791016351571804,0.7954059829059829,0.7664670658682635,0.8232118758434548,0.8092105263157895,0.75,0.8134715025906736,0.7674858223062382,0.7975460122699386,0.8007380073800738,8,2162,1582,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-balgrist04_071,T2w,T2w,sub-balgrist04_071.nii.gz,0.7983092257016824,0.8020322990382871,0.832579185520362,0.8661800486618005,0.8333333333333334,0.8432267884322678,0.85,0.7381776239907728,0.7255172413793104,0.6974595842956121,8,3186,2325,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,3.3393426912553537e-17
sub-balgrist06_222,T2w,T2w,sub-balgrist06_222.nii.gz,0.7693909194251609,0.7749036873968079,0.7148760330578512,0.8253968253968254,0.8372093023255814,0.7744360902255639,0.7416173570019724,0.8085106382978723,0.7482352941176471,0.7048458149779736,8,2158,1476,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-barcelona02_063,T2w,T2w,sub-barcelona02_063.nii.gz,0.783140101995256,0.7875192265436168,0.7227191413237924,0.8410372040586246,0.8405797101449275,0.7536231884057971,0.7758007117437722,0.7688442211055276,0.7648456057007126,0.7976710334788938,8,2635,1916,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-barcelona03_074,T2w,T2w,sub-barcelona03_074.nii.gz,0.7651927287415772,0.7815110451085948,0.7571428571428571,0.7874865156418555,0.7232876712328767,0.6666666666666666,0.7932203389830509,0.8089887640449438,0.8311258278145696,0.7536231884057971,8,3143,2244,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-barcelona06_214,T2w,T2w,sub-barcelona06_214.nii.gz,0.7938580845240264,0.8081936685288641,0.7837837837837838,0.8184523809523809,0.7883817427385892,0.8121546961325967,0.8687898089171975,0.8071519795657727,0.7892234548335975,0.6829268292682927,8,2771,2062,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-brnoUhb01_085,T2w,T2w,sub-brnoUhb01_085.nii.gz,0.788312696168337,0.7981744421906694,0.8178913738019169,0.8478444632290786,0.7874331550802139,0.8039579468150897,0.8552245069240453,0.7457081545064378,0.7671232876712328,0.6813186813186813,8,7881,5923,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,2.9802322387695312e-08
sub-cardiff02_182,T2w,T2w,sub-cardiff02_182.nii.gz,0.7748194310613243,0.7932148626817448,0.71875,0.8466076696165191,0.7846153846153846,0.6996466431095406,0.8156424581005587,0.8395802098950524,0.8457538994800693,0.6479591836734694,8,2181,1533,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,3.725290298461914e-09
sub-cardiff04_172,T2w,T2w,sub-cardiff04_172.nii.gz,0.7865148210416871,0.8048279404211608,0.8309037900874635,0.8396946564885496,0.8,0.8379446640316206,0.8353909465020576,0.7183908045977011,0.7164179104477612,0.7133757961783439,8,2219,1675,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,5.960464477539063e-08
sub-cmrra02_140,T2w,T2w,sub-cmrra02_140.nii.gz,0.8025705763301305,0.8177191328934967,0.8211678832116789,0.8478764478764479,0.824773413897281,0.865265760197775,0.8050713153724247,0.7651515151515151,0.8102766798418972,0.6809815950920245,8,3051,2254,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,9.313225746154785e-10
sub-cmrra04_158,T2w,T2w,sub-cmrra04_158.nii.gz,0.7430280309782726,0.7738255033557047,0.7696793002915452,0.8388625592417062,0.6551724137931034,0.6404494382022472,0.7680890538033395,0.8140703517587939,0.8237547892720306,0.6341463414634146,8,1764,1216,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,1.862645149230957e-09
sub-geneva01_253,T2w,T2w,sub-geneva01_253.nii.gz,0.7968474393547711,0.8131647601846277,0.8638412984670875,0.835920177383592,0.7389380530973452,0.7670454545454546,0.8076358296622613,0.851520572450805,0.7951807228915663,0.7146974063400576,8,2870,2113,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,5.960464477539063e-08
sub-mgh01_301,T2w,T2w,sub-mgh01_301.nii.gz,0.7285410029343335,0.8147406368916483,0.7786885245901639,0.8277310924369747,0.8153310104529616,0.8654970760233918,0.8516129032258064,0.8760563380281691,0.8134110787172012,0.0,8,2738,2255,C2;C3;C4;C5;C6;C7;C8,C2;C3;C4;C5;C6;C7;C8;T1,5.960464477539063e-08
sub-mgh02_302,T2w,T2w,sub-mgh02_302.nii.gz,0.7760085690747339,0.7797599740512487,0.7632508833922261,0.8143712574850299,0.7798408488063661,0.8037825059101655,0.7989556135770235,0.7516778523489933,0.775,0.7211895910780669,8,1813,1270,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,5.960464477539063e-08
sub-stanford02_303,T2w,T2w,sub-stanford02_303.nii.gz,0.7938289666319325,0.7973148549155479,0.8317152103559871,0.7861635220125787,0.7817047817047817,0.8340425531914893,0.8089887640449438,0.8020833333333334,0.7572156196943973,0.7487179487179487,8,2688,1930,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-stanford05_304,T2w,T2w,sub-stanford05_304.nii.gz,0.8143309492775879,0.8186652942185624,0.8371501272264631,0.862475442043222,0.7701317715959004,0.8297872340425532,0.8025078369905956,0.7988338192419825,0.8250289687137891,0.7887323943661971,8,3340,2489,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,5.960464477539063e-08
sub-ucdavis03_305,T2w,T2w,sub-ucdavis03_305.nii.gz,0.8283736288642798,0.8291150288008379,0.87,0.8391224862888482,0.845679012345679,0.8486562942008486,0.8198074277854195,0.8198307134220073,0.8343711083437111,0.7495219885277247,8,3224,2505,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,3.725290298461914e-09
sub-18_inv-1_part-mag_MP2RAGE,inv-1_part-mag_MP2RAGE,INV1,sub-18_inv-1_part-mag_MP2RAGE.nii.gz,0.8464365396877388,0.8466483011937558,0.8907563025210085,0.8327974276527331,0.774390243902439,0.8005865102639296,0.8285322359396433,0.9097651421508035,0.8703898840885143,0.8642745709828393,8,2747,2698,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,5.960464477539063e-08
sub-18_inv-2_part-mag_MP2RAGE,inv-2_part-mag_MP2RAGE,INV2,sub-18_inv-2_part-mag_MP2RAGE.nii.gz,0.8390091899635161,0.8391812865497076,0.8760806916426513,0.8125,0.8141321044546851,0.7942857142857143,0.8276797829036635,0.8975609756097561,0.8562367864693446,0.8335974643423137,8,2747,2725,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,5.960464477539063e-08
