case_id	contrast	reference
sub-002_ses-headNormal_000	T2w	sub-002_ses-headNormal_000.nii.gz
sub-003_ses-headNormal_002	T2w	sub-003_ses-headNormal_002.nii.gz
sub-003_ses-headUp_003	T2w	sub-003_ses-headUp_003.nii.gz
sub-004_ses-headNormal_004	T2w	sub-004_ses-headNormal_004.nii.gz
sub-005_ses-headNormal_006	T2w	sub-005_ses-headNormal_006.nii.gz
sub-005_ses-headUp_007	T2w	sub-005_ses-headUp_007.nii.gz
sub-007_ses-headUp_010	T2w	sub-007_ses-headUp_010.nii.gz
sub-010_ses-headNormal_014	T2w	sub-010_ses-headNormal_014.nii.gz
sub-011_ses-headNormal_016	T2w	sub-011_ses-headNormal_016.nii.gz
sub-011_ses-headUp_017	T2w	sub-011_ses-headUp_017.nii.gz
sub-amu01_064	T2w	sub-amu01_064.nii.gz
sub-amu05_216	T2w	sub-amu05_216.nii.gz
sub-balgrist01_218	T2w	sub-balgrist01_218.nii.gz
sub-balgrist02_084	T2w	sub-balgrist02_084.nii.gz
sub-balgrist03_066	T2w	sub-balgrist03_066.nii.gz
sub-balgrist04_071	T2w	sub-balgrist04_071.nii.gz
sub-balgrist06_222	T2w	sub-balgrist06_222.nii.gz
sub-barcelona02_063	T2w	sub-barcelona02_063.nii.gz
sub-barcelona03_074	T2w	sub-barcelona03_074.nii.gz
sub-barcelona06_214	T2w	sub-barcelona06_214.nii.gz
sub-brnoUhb01_085	T2w	sub-brnoUhb01_085.nii.gz
sub-cardiff02_182	T2w	sub-cardiff02_182.nii.gz
sub-cardiff04_172	T2w	sub-cardiff04_172.nii.gz
sub-cmrra02_140	T2w	sub-cmrra02_140.nii.gz
sub-cmrra04_158	T2w	sub-cmrra04_158.nii.gz
sub-geneva01_253	T2w	sub-geneva01_253.nii.gz
sub-mgh01_301	T2w	sub-mgh01_301.nii.gz
sub-mgh02_302	T2w	sub-mgh02_302.nii.gz
sub-stanford02_303	T2w	sub-stanford02_303.nii.gz
sub-stanford05_304	T2w	sub-stanford05_304.nii.gz
sub-ucdavis03_305	T2w	sub-ucdavis03_305.nii.gz
