case_id	contrast	reference
sub-007_ses-headNormal_009	T2w	sub-007_ses-headNormal_009.nii.gz
sub-010_ses-headUp_015	T2w	sub-010_ses-headUp_015.nii.gz
sub-amu02_215	T2w	sub-amu02_215.nii.gz
sub-barcelona01_212	T2w	sub-barcelona01_212.nii.gz
sub-brnoUhb03_209	T2w	sub-brnoUhb03_209.nii.gz
sub-17_inv-1_part-mag_MP2RAGE	inv-1_part-mag_MP2RAGE	sub-17_inv-1_part-mag_MP2RAGE.nii.gz
sub-17_inv-2_part-mag_MP2RAGE	inv-2_part-mag_MP2RAGE	sub-17_inv-2_part-mag_MP2RAGE.nii.gz
sub-17_UNIT1	UNIT1	sub-17_UNIT1.nii.gz
sub-24_inv-1_part-mag_MP2RAGE	inv-1_part-mag_MP2RAGE	sub-24_inv-1_part-mag_MP2RAGE.nii.gz
sub-24_inv-2_part-mag_MP2RAGE	inv-2_part-mag_MP2RAGE	sub-24_inv-2_part-mag_MP2RAGE.nii.gz
sub-24_UNIT1	UNIT1	sub-24_UNIT1.nii.gz
sub-31_inv-1_part-mag_MP2RAGE	inv-1_part-mag_MP2RAGE	sub-31_inv-1_part-mag_MP2RAGE.nii.gz
sub-31_inv-2_part-mag_MP2RAGE	inv-2_part-mag_MP2RAGE	sub-31_inv-2_part-mag_MP2RAGE.nii.gz
sub-31_UNIT1	UNIT1	sub-31_UNIT1.nii.gz
sub-37_inv-1_part-mag_MP2RAGE	inv-1_part-mag_MP2RAGE	sub-37_inv-1_part-mag_MP2RAGE.nii.gz
sub-37_inv-2_part-mag_MP2RAGE	inv-2_part-mag_MP2RAGE	sub-37_inv-2_part-mag_MP2RAGE.nii.gz
sub-37_UNIT1	UNIT1	sub-37_UNIT1.nii.gz
