case_id,contrast,group,reference,macro_level_dice,binary_dice,dice_C2,dice_C3,dice_C4,dice_C5,dice_C6,dice_C7,dice_C8,dice_T1,n_levels_in_union,gt_foreground_voxels,pred_foreground_voxels,gt_levels,pred_levels,max_affine_error
sub-007_ses-headNormal_009,T2w,T2w,sub-007_ses-headNormal_009.nii.gz,0.5569080427034374,0.5706377089321836,0.654911838790932,0.6190748143917761,0.682741116751269,0.44534412955465585,0.567741935483871,0.615958240119314,0.42156074014481093,0.4479315263908702,8,5030,4363,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-010_ses-headUp_015,T2w,T2w,sub-010_ses-headUp_015.nii.gz,0.5959153017056085,0.6473368478458462,0.7330895795246801,0.6905951840072694,0.6594594594594595,0.6497890295358649,0.6802900461437047,0.595648912228057,0.3525305410122164,0.4059196617336152,8,5582,5420,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-amu02_215,T2w,T2w,sub-amu02_215.nii.gz,0.6055391099979059,0.6278145695364239,0.572463768115942,0.7395993836671803,0.45185185185185184,0.5213032581453634,0.6740088105726872,0.5509761388286334,0.7774086378737541,0.5567010309278351,8,2317,1458,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-barcelona01_212,T2w,T2w,sub-barcelona01_212.nii.gz,0.6637512110598425,0.6740162822252375,0.7341430499325237,0.7101303911735206,0.5281385281385281,0.7286821705426356,0.6762028608582574,0.6653771760154739,0.6932952924393724,0.5740402193784278,8,3599,2297,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-brnoUhb03_209,T2w,T2w,sub-brnoUhb03_209.nii.gz,0.6660634244288035,0.6696470588235294,0.7154605263157895,0.653904282115869,0.5919578114700066,0.7249007373794668,0.6725860155382908,0.742152466367713,0.6423927178153446,0.5851528384279476,8,7558,5192,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-17_inv-1_part-mag_MP2RAGE,inv-1_part-mag_MP2RAGE,INV1,sub-17_inv-1_part-mag_MP2RAGE.nii.gz,0.6357327897702976,0.6319541298620797,0.7030716723549488,0.6684709066305818,0.5901639344262295,0.6170421155729677,0.6415094339622641,0.6441784548422198,0.6544401544401545,0.5669856459330144,8,3784,2669,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-17_inv-2_part-mag_MP2RAGE,inv-2_part-mag_MP2RAGE,INV2,sub-17_inv-2_part-mag_MP2RAGE.nii.gz,0.6488088310532973,0.6542378192072693,0.5942492012779552,0.6523489932885906,0.6823956442831216,0.6506506506506506,0.6480769230769231,0.673202614379085,0.6924528301886792,0.5970937912813739,8,3784,2599,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-17_UNIT1,UNIT1,UNIT1,sub-17_UNIT1.nii.gz,0.6484777615696466,0.6430363864491845,0.726027397260274,0.6582984658298466,0.6258741258741258,0.6529814271749755,0.5968992248062015,0.6460859977949284,0.692822966507177,0.5888324873096447,8,3784,2592,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-24_inv-1_part-mag_MP2RAGE,inv-1_part-mag_MP2RAGE,INV1,sub-24_inv-1_part-mag_MP2RAGE.nii.gz,0.47136123030049404,0.477041852905323,0.38219895287958117,0.2077562326869806,0.44176706827309237,0.4269293924466338,0.5772946859903382,0.6230440967283073,0.5557299843014128,0.5561694290976059,8,2764,2158,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
sub-24_inv-2_part-mag_MP2RAGE,inv-2_part-mag_MP2RAGE,INV2,sub-24_inv-2_part-mag_MP2RAGE.nii.gz,0.5552918712653236,0.5626141668358027,0.44155844155844154,0.3096590909090909,0.5358490566037736,0.5709342560553633,0.682095006090134,0.6545454545454545,0.595679012345679,0.652014652014652,8,2764,2163,C2;C3;C4;C5;C6;C7;C8;T1,C2;C3;C4;C5;C6;C7;C8;T1,0.0
