Subject,Train/Test,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5
sub-17,Test,Test,Test,Test,Test,Test
sub-18,Train,Train,Validation,Train,Train,Train
sub-19,Train,Train,Train,Validation,Train,Train
sub-20,Train,Train,Validation,Train,Train,Train
sub-21,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
sub-22,Train,Train,Train,Train,Validation,Train
sub-23,Train,Train,Train,Train,Train,Validation
sub-24,Test,Test,Test,Test,Test,Test
sub-25,Train,Validation,Train,Train,Train,Train
sub-26,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
sub-27,Train,Train,Train,Train,Train,Validation
sub-28,Train,Train,Train,Train,Validation,Train
sub-29,Train,Validation,Train,Train,Train,Train
sub-30,Train,Train,Train,Train,Train,Validation
sub-31,Test,Test,Test,Test,Test,Test
sub-32,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
sub-33,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
sub-34,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
sub-35,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
sub-36,Train,Validation,Train,Train,Train,Train
sub-37,Test,Test,Test,Test,Test,Test
sub-38,Train,Train,Train,Train,Validation,Train
sub-39,Train,Train,Validation,Train,Train,Train
sub-40,Train,Train,Train,Validation,Train,Train
sub-41,Train,Train,Train,Validation,Train,Train
sub-002_ses-headNormal_000,Train,Validation,Train,Train,Train,Train
sub-003_ses-headNormal_002,Train,Train,Train,Train,Train,Validation
sub-003_ses-headUp_003,Train,Train,Train,Train,Train,Validation
sub-004_ses-headNormal_004,Train,Validation,Train,Train,Train,Train
sub-005_ses-headNormal_006,Train,Train,Train,Train,Train,Validation
sub-005_ses-headUp_007,Train,Train,Validation,Train,Train,Validation
sub-007_ses-headUp_010,Train,Train,Validation,Train,Train,Train
sub-007_ses-headNormal_009,Test,Test,Test,Test,Test,Test
sub-010_ses-headNormal_014,Train,Train,Train,Train,Train,Train
sub-010_ses-headUp_015,Test,Test,Test,Test,Test,Test
sub-011_ses-headNormal_016,Train,Validation,Train,Train,Train,Train
sub-011_ses-headUp_017,Train,Train,Train,Train,Train,Validation
sub-amu01_064,Train,Train,Train,Validation,Train,Train
sub-amu02_215,Test,Test,Test,Test,Test,Test
sub-amu05_216,Train,Train,Train,Validation,Train,Train
sub-balgrist01_218,Train,Validation,Train,Train,Train,Train
sub-balgrist02_084,Train,Train,Train,Validation,Train,Train
sub-balgrist03_066,Train,Train,Train,Train,Validation,Train
sub-balgrist04_071,Train,Validation,Train,Train,Train,Train
sub-balgrist06_222,Train,Train,Train,Validation,Train,Train
sub-barcelona01_212,Test,Test,Test,Test,Test,Test
sub-barcelona02_063,Train,Train,Train,Train,Validation,Train
sub-barcelona03_074,Train,Validation,Train,Train,Train,Train
sub-barcelona06_214,Train,Train,Train,Validation,Train,Train
sub-brnoUhb01_085,Train,Train,Validation,Train,Train,Train
sub-brnoUhb03_209,Test,Test,Test,Test,Test,Test
sub-cardiff02_182,Train,Train,Validation,Train,Train,Train
sub-cardiff04_172,Train,Train,Train,Train,Validation,Train
sub-cmrra02_140,Train,Train,Train,Validation,Train,Train
sub-cmrra04_158,Train,Train,Validation,Train,Train,Train
sub-geneva01_253,Train,Train,Validation,Train,Train,Train
sub-mgh01_301,Train,Train,Train,Train,Validation,Train
sub-mgh02_302,Train,Validation,Train,Train,Train,Train
sub-stanford02_303,Train,Train,Train,Train,Validation,Train
sub-stanford05_304,Train,Train,Train,Train,Train,Validation
sub-ucdavis03_305,Train,Train,Train,Train,Validation,Train
